venue,n_race,date
ST,14,1983/11/06
ST,14,1983/11/12
HV,14,1983/11/16
ST,14,1983/11/20
HV,14,1983/11/23
ST,14,1983/11/26
ST,14,1983/11/30
ST,14,1983/12/04
ST,14,1983/12/10
HV,14,1983/12/14
ST,14,1983/12/17
HV,14,1983/12/21
HV,14,1983/12/28
ST,14,1983/12/31
HV,14,1984/01/02
HV,14,1984/02/04
HV,14,1984/01/04
ST,14,1984/01/07
ST,14,1984/01/14
ST,14,1984/01/18
ST,14,1984/01/22
ST,14,1984/01/25
HV,14,1984/02/08
HV,14,1984/02/11
HV,14,1984/02/15
ST,14,1984/02/18
HV,14,1984/02/22
ST,14,1984/02/25
ST,14,1984/03/03
HV,14,1984/04/07
ST,14,1984/03/04
ST,14,1984/03/10
ST,14,1984/03/14
ST,14,1984/03/17
ST,14,1984/03/21
ST,14,1984/03/24
HV,14,1984/03/28
HV,14,1984/03/31
HV,14,1984/04/11
HV,14,1984/04/14
HV,14,1984/04/18
HV,14,1984/04/21
HV,14,1984/04/23
ST,14,1984/04/28
HV,14,1984/05/02
ST,14,1984/05/05
HV,14,1984/05/09
ST,14,1984/05/13
ST,14,1984/05/19
HV,14,1984/05/23
HV,14,1984/05/26
HV,14,1984/09/15
HV,14,1984/09/19
HV,14,1984/09/22
HV,14,1984/09/26
HV,14,1984/09/29
HV,14,1984/10/06
ST,14,1984/11/03
HV,14,1984/10/10
HV,14,1984/10/13
HV,14,1984/10/17
HV,14,1984/10/20
HV,14,1984/10/27
HV,14,1984/10/31
HV,14,1984/11/07
ST,14,1984/11/11
ST,14,1984/11/17
HV,14,1984/11/21
ST,14,1984/11/24
ST,14,1984/12/01
HV,14,1985/01/01
HV,14,1984/12/05
ST,14,1984/12/08
HV,14,1984/12/12
ST,14,1984/12/16
HV,14,1984/12/19
ST,14,1984/12/22
HV,14,1984/12/29
ST,14,1985/01/05
ST,14,1985/01/09
ST,14,1985/01/13
ST,14,1985/01/16
ST,14,1985/01/19
HV,14,1985/01/23
ST,14,1985/01/26
HV,14,1985/01/30
ST,14,1985/02/02
ST,14,1985/03/02
HV,14,1985/02/06
ST,14,1985/02/10
ST,14,1985/02/13
HV,14,1985/02/22
HV,14,1985/02/27
HV,14,1985/03/06
ST,14,1985/03/09
ST,14,1985/03/10
ST,14,1985/03/16
HV,14,1985/03/20
ST,14,1985/03/23
HV,14,1985/03/27
HV,14,1985/03/30
HV,14,1985/04/03
HV,14,1985/05/01
HV,14,1985/04/06
HV,14,1985/04/08
HV,14,1985/04/13
HV,14,1985/04/17
ST,14,1985/04/21
HV,14,1985/04/24
ST,14,1985/04/27
ST,14,1985/05/04
HV,14,1985/05/08
ST,14,1985/05/11
HV,14,1985/05/15
ST,14,1985/05/18
HV,14,1985/05/25
HV,14,1985/06/01
HV,14,1985/09/21
HV,14,1985/10/02
HV,14,1985/09/25
HV,14,1985/09/28
HV,14,1985/10/05
HV,14,1985/10/09
HV,14,1985/10/12
HV,14,1985/10/16
HV,14,1985/10/19
HV,14,1985/10/23
HV,14,1985/10/26
HV,14,1985/11/02
HV,14,1985/12/04
HV,14,1985/11/06
ST,14,1985/11/09
HV,14,1985/11/13
ST,14,1985/11/16
HV,14,1985/11/20
ST,14,1985/11/23
ST,14,1985/11/27
ST,14,1985/11/30
ST,14,1985/12/07
HV,14,1985/12/11
ST,14,1985/12/15
HV,14,1985/12/18
ST,14,1985/12/21
HV,14,1985/12/28
HV,14,1986/01/01
HV,14,1986/02/01
HV,14,1986/01/04
HV,14,1986/01/08
ST,14,1986/01/11
HV,14,1986/01/15
ST,14,1986/01/19
HV,14,1986/01/22
ST,14,1986/01/25
HV,14,1986/01/29
HV,14,1986/02/11
HV,14,1986/02/15
HV,14,1986/02/19
ST,14,1986/02/23
HV,14,1986/02/26
ST,14,1986/03/01
HV,14,1986/04/09
HV,14,1986/03/05
ST,14,1986/03/08
ST,14,1986/03/15
ST,14,1986/03/16
ST,14,1986/03/19
HV,14,1986/03/22
HV,14,1986/03/29
HV,14,1986/03/31
HV,14,1986/04/12
HV,14,1986/04/16
ST,14,1986/04/19
HV,14,1986/04/23
ST,14,1986/04/26
HV,14,1986/04/30
ST,14,1986/05/04
HV,14,1986/05/07
ST,14,1986/05/10
ST,14,1986/05/18
HV,14,1986/05/21
ST,14,1986/05/24
HV,14,1986/05/28
HV,14,1986/05/31
ST,14,1986/09/20
HV,14,1986/09/24
ST,14,1986/09/27
HV,14,1986/10/01
ST,14,1986/11/01
ST,14,1986/10/04
HV,14,1986/10/08
HV,14,1986/10/11
HV,14,1986/10/18
ST,14,1986/10/22
ST,14,1986/10/26
HV,14,1986/10/29
HV,14,1986/11/05
ST,14,1986/11/09
HV,14,1986/11/15
HV,14,1986/11/19
HV,14,1986/11/22
HV,14,1986/11/26
HV,14,1986/11/29
HV,14,1986/12/03
HV,14,1987/01/01
ST,14,1986/12/07
HV,14,1986/12/10
ST,14,1986/12/13
ST,14,1986/12/14
HV,14,1986/12/17
ST,14,1986/12/20
HV,14,1986/12/27
ST,14,1987/01/03
HV,14,1987/01/07
ST,14,1987/01/10
HV,14,1987/01/14
ST,14,1987/01/18
HV,14,1987/01/21
HV,14,1987/01/31
HV,14,1987/02/04
ST,14,1987/03/01
HV,14,1987/02/07
HV,14,1987/02/11
ST,14,1987/02/15
HV,14,1987/02/18
ST,14,1987/02/21
HV,14,1987/02/25
HV,14,1987/03/04
ST,14,1987/03/07
HV,14,1987/03/11
ST,14,1987/03/14
HV,14,1987/03/18
ST,14,1987/03/21
HV,14,1987/03/25
ST,14,1987/03/28
HV,14,1987/04/01
ST,14,1987/05/02
HV,14,1987/04/08
HV,14,1987/04/11
HV,14,1987/04/15
HV,14,1987/04/18
HV,14,1987/04/20
ST,14,1987/04/26
HV,14,1987/04/29
HV,14,1987/05/06
ST,14,1987/05/10
HV,14,1987/05/13
ST,14,1987/05/16
HV,14,1987/05/20
ST,14,1987/05/24
ST,14,1987/05/30
ST,14,1987/09/19
ST,14,1987/10/04
HV,14,1987/09/23
ST,14,1987/09/26
HV,14,1987/09/30
HV,14,1987/10/10
HV,14,1987/10/14
HV,14,1987/10/17
